timestamp,price,number
26538.201,283.0,1
26544.184,291.0,1
26545.114,284.0,3
26545.517,280.7,4
26546.261,291.0,1
26549.795,288.0,2
26549.857,290.0,3
26553.453,291.0,1
26554.383,291.0,2
26555.282,287.0,1
26556.15,287.0,1
26558.227,287.3,4
26560.8,283.0,2
26561.73,283.0,4
26563.962,283.0,1
26565.295,280.0,4
26567.031,286.0,5
26570.038,287.0,2
26571.154,282.0,1
26572.177,280.0,2
26574.192,282.0,1
26574.905,288.0,2
26575.463,278.0,1
26576.393,277.0,1
26577.137,276.0,1
26578.966,291.0,1
26579.369,293.0,2
26584.887,293.0,1
26587.739,293.0,2
26587.925,293.0,2
26588.08,291.0,1
26590.188,291.0,1
26593.412,292.0,2
26594.497,292.0,1
26594.9,292.0,1
26595.458,289.3,5
26595.954,285.0,1
26596.047,285.0,1
26598.062,285.0,3
26598.248,283.0,3
26598.837,284.0,4
26600.015,283.0,1
26605.905,288.0,1
26606.246,289.0,2
26606.959,283.0,3
26608.602,293.0,3
26610.152,293.0,4
26611.206,292.5,3
26613.19,281.0,2
26613.748,285.0,1
26616.786,286.7,4
26618.336,288.0,1
26618.553,285.0,2
26618.801,287.0,4
26621.033,287.0,4
26621.529,286.0,1
26623.761,288.0,2
26624.939,286.0,5
26625.528,286.0,1
26626.272,285.0,1
26627.326,286.0,2
26631.852,293.0,2
26633.309,290.0,4
26639.292,288.5,4
26639.85,288.0,3
26639.881,288.0,2
26641.152,291.0,2
26643.601,287.0,5
26644.283,286.0,3
26644.531,285.0,5
26645.647,290.0,10
26646.267,293.0,2
26647.259,293.0,5
26648.22,289.0,2
26650.948,287.0,5
26657.055,289.0,1
26662.201,292.0,2
26662.542,292.0,2
26664.216,291.0,3
26665.27,286.0,4
26665.89,289.0,1
26666.2,287.0,2
26666.479,287.0,2
26666.603,287.0,3
26670.199,287.0,1
26672.059,286.0,3
26675.996,282.3,5
26678.042,283.0,1
26678.29,284.0,3
26680.088,289.0,3
26684.862,288.0,1
26685.265,285.0,1
26686.722,286.0,3
26690.752,285.0,3
26691.992,284.0,4
26692.55,283.0,2
26692.581,285.0,1
26693.697,283.0,2
26694.162,286.0,1
26696.239,287.0,2
26696.89,288.0,1
26698.564,286.0,3
26703.09,285.5,5
26707.802,285.5,2
26708.856,285.0,1
26709.383,283.0,4
26709.724,283.0,2
26709.755,283.0,1
26712.421,287.0,2
26714.25,291.0,1
26715.025,291.0,4
26717.009,290.0,5
26726.185,285.0,2
26728.851,292.0,3
26729.161,290.3,5
26731.92,287.0,1
26733.656,287.0,3
26734.493,288.0,1
26734.617,288.0,3
26735.113,286.0,3
26736.384,283.0,3
26737.345,284.0,5
26737.748,284.0,1
26738.461,283.0,1
26739.391,282.0,1
26742.305,280.0,2
26744.568,277.0,1
26745.591,280.0,3
26746.862,280.0,2
