,Future Buy Increase,Future Sell Decrease,Bid Ask Spread Threshold,Order Imbalance Threshold,Volatility Threshold,Proximity Threshold,Profit/Loss,Number of Transactions,Sortino Ratio,Sharpe Ratio,Max Drawdown,Calmar Ratio
613,1.07,0.95,42.82,0.12,0.04,0.02,51434.57828,63727,0.683330043,0.451690551,-1.242565371,0.005568562
614,1.07,0.95,42.82,0.12,0.04,0.03,51434.57828,63727,0.683330043,0.451690551,-1.242565371,0.005568562
615,1.07,0.95,42.82,0.12,0.05,0.01,51434.57828,63727,0.683330043,0.451690551,-1.242565371,0.005568562
616,1.07,0.95,42.82,0.12,0.05,0.02,51434.57828,63727,0.683330043,0.451690551,-1.242565371,0.005568562
617,1.07,0.95,42.82,0.12,0.05,0.03,51434.57828,63727,0.683330043,0.451690551,-1.242565371,0.005568562
618,1.07,0.95,42.82,0.12,0.06,0.01,51434.57828,63727,0.683330043,0.451690551,-1.242565371,0.005568562
619,1.07,0.95,42.82,0.12,0.06,0.02,51434.57828,63727,0.683330043,0.451690551,-1.242565371,0.005568562
620,1.07,0.95,42.82,0.12,0.06,0.03,51434.57828,63727,0.683330043,0.451690551,-1.242565371,0.005568562
531,1.07,0.97,42.82,0.12,0.04,0.01,51427.70561,63727,0.635597128,0.443337909,-1.125262225,0.00614853
532,1.07,0.97,42.82,0.12,0.04,0.02,51427.70561,63727,0.635597128,0.443337909,-1.125262225,0.00614853
533,1.07,0.97,42.82,0.12,0.04,0.03,51427.70561,63727,0.635597128,0.443337909,-1.125262225,0.00614853
534,1.07,0.97,42.82,0.12,0.05,0.01,51427.70561,63727,0.635597128,0.443337909,-1.125262225,0.00614853
535,1.07,0.97,42.82,0.12,0.05,0.02,51427.70561,63727,0.635597128,0.443337909,-1.125262225,0.00614853
536,1.07,0.97,42.82,0.12,0.05,0.03,51427.70561,63727,0.635597128,0.443337909,-1.125262225,0.00614853
537,1.07,0.97,42.82,0.12,0.06,0.01,51427.70561,63727,0.635597128,0.443337909,-1.125262225,0.00614853
538,1.07,0.97,42.82,0.12,0.06,0.02,51427.70561,63727,0.635597128,0.443337909,-1.125262225,0.00614853
539,1.07,0.97,42.82,0.12,0.06,0.03,51427.70561,63727,0.635597128,0.443337909,-1.125262225,0.00614853
