,ARIMA Forecast Average Mid-Price,Actual Mid-Price,ARIMA Forecast Average Bid-Ask Spread,Actual Bid-Ask Spread,RSI,True Trading Signals,ARIMA Trading Signal
6261,139.96034442582928,137.04,57.95660701627007,53.79,137.04,Hold,Hold
6262,131.50168455616367,125.91,44.8607580124572,36.07,125.91,Buy,Hold
6263,139.08782248591723,149.67,59.7235090820508,77.95,149.67,Sell,Hold
6264,137.1311164844412,141.98,68.520218985671,67.45,141.98,Hold,Hold
6265,135.7181442078131,141.26,63.20163437392927,62.63,141.26,Hold,Hold
6266,135.48814459163992,128.79,55.99886235859992,41.02,128.79,Buy,Hold
6267,135.02721439195508,135.73,52.265038633269114,52.17,135.73,Hold,Hold
6268,136.42482969314955,138.51,54.46988784332636,55.99,138.51,Hold,Hold
6269,139.4554523346005,143.78,58.1430959817546,65.7,143.78,Sell,Hold
6270,134.04787213533106,131.44,54.48139716909951,42.72,131.44,Buy,Hold
6271,138.6177502393487,144.78,58.63501739177965,71.25,144.78,Sell,Hold
6272,138.13120807907575,132.56,57.41929907815603,45.36,132.56,Buy,Hold
6273,139.29792036062014,131.16,55.605027209250316,44.13,131.16,Hold,Hold
6274,138.59150524183747,142.79,56.96149178411921,67.76,142.79,Sell,Hold
6275,137.3600314248577,147.71,57.03981812492229,74.05,147.71,Hold,Hold
6276,138.4638850664137,127.96,57.398097729768075,37.66,127.96,Buy,Hold
6277,138.2766873454923,133.21,56.095165107552,50.49,133.21,Hold,Hold
6278,137.80935533946868,134.23,57.30226241905905,47.4,134.23,Hold,Hold
6279,136.475972902602,125.07,53.8368994704374,34.01,125.07,Hold,Hold
6280,133.91389944370093,159.46,49.16765305613093,101.57,159.46,Sell,Hold
6281,134.63913142538055,138.6,52.86232421709359,55.99,138.6,Hold,Hold
6282,136.56302270464883,124.76,56.28421688395753,33.09,124.76,Buy,Hold
6283,137.18605493666996,135.46,55.41869837435398,57.14,135.46,Hold,Hold
6284,136.48711148434137,136.92,54.741753117971186,55.85,136.92,Sell,Hold
6285,136.39268962458303,128.88,53.33482435032871,40.42,128.88,Buy,Hold
6286,135.8086145647666,132.44,54.065598170994576,43.18,132.44,Hold,Hold
6287,134.2128116908466,135.79,53.72552511513803,55.85,135.79,Hold,Hold
6288,133.09163343237338,124.27,51.830550629792604,26.17,124.27,Hold,Hold
6289,131.93766957113147,141.15,53.327321670586926,62.2,141.15,Hold,Hold
6290,130.71585114128118,152.07,54.53956177392888,81.52,152.07,Sell,Hold
6291,134.58303708628245,133.58,52.472171171414445,46.56,133.58,Buy,Hold
6292,134.76407240130897,136.55,54.041561839970655,55.2,136.55,Hold,Hold
6293,135.4809856227411,145.58,55.216327034187046,71.0,145.58,Sell,Hold
6294,135.84404627962215,135.21,53.50026082063293,50.36,135.21,Hold,Hold
6295,136.14957043510753,127.27,51.605233168220494,34.4,127.27,Buy,Hold
6296,136.50755105127516,131.45,52.250458781501536,44.69,131.45,Hold,Hold
6297,136.37768481190705,131.87,52.09010244749102,46.57,131.87,Hold,Hold
6298,137.6871036992672,123.45,49.15819296780042,27.49,123.45,Hold,Hold
6299,136.9897389728053,133.23,53.97127067992326,48.64,133.23,Hold,Hold
6300,133.65204515858463,131.24,48.332287428907634,41.18,131.24,Hold,Hold
6301,129.48838294334752,126.12,47.48169587804713,32.77,126.12,Hold,Hold
6302,130.98840666629667,133.24,45.733907873364856,47.29,133.24,Hold,Hold
6303,128.31016878961202,126.06,41.892803426933654,31.9,126.06,Hold,Hold
6304,131.00878221364974,132.18,47.38458890293171,46.14,132.18,Hold,Hold
6305,133.89271918867266,142.09,48.00473531266892,61.77,142.09,Hold,Hold
6306,134.584821760436,138.41,49.23214391316229,58.29,138.41,Hold,Hold
6307,142.18695767947023,139.68,48.670626123877256,57.1,139.68,Hold,Hold
6308,146.75124541000542,144.71,62.168503907798915,69.38,144.71,Hold,Hold
6309,165.05861417026819,162.12,91.52124821235532,104.0,162.12,Sell,Hold
6310,146.98477576616548,129.66,86.62861206008446,40.08,129.66,Buy,Hold
6311,142.1071221721159,134.66,60.9856891333586,53.07,134.66,Hold,Hold
6312,137.4809179545719,141.88,57.34011296725762,64.77,141.88,Hold,Hold
6313,142.89273356873633,149.88,70.33199867517905,86.09,149.88,Sell,Hold
