,ARIMA Forecast Average Mid-Price,Actual Mid-Price,ARIMA Forecast Average Bid-Ask Spread,Actual Bid-Ask Spread,ARIMA Trading Signal,True Trading Signals,Correct Prediction
8135,137.28679799448818,142.9,62.338330481935316,70.43,Hold,Sell,False
8136,136.9208779000955,134.92,62.30433627452925,55.67,Sell,Buy,False
8137,137.20415791535044,143.37,62.62881684371149,71.79,Hold,Sell,False
8138,137.3939514126435,133.17,61.135402064002776,51.79,Hold,Buy,False
8139,137.30721467405442,141.54,60.76971285105244,66.64,Buy,Sell,False
8140,137.83236770294693,129.55,61.676849818078765,43.36,Hold,Buy,False
8141,137.5924424471324,137.6,61.318331240786435,61.45,Buy,Hold,False
8142,138.41797296906032,133.42,62.55161752798826,50.8,Hold,Hold,True
8143,137.93441099197975,131.93,60.67765539690496,48.71,Buy,Hold,False
8144,137.50765986681841,152.21,60.27982413262323,90.78,Sell,Sell,True
8145,138.49792345387408,124.69,62.30516730845663,35.01,Hold,Buy,False
8146,136.35789358217284,145.55,58.72476361334018,80.55,Buy,Sell,False
8147,137.62672726470257,134.48,61.43309179632765,54.52,Buy,Hold,False
8148,136.97950482711474,130.71,60.89300146645669,47.97,Hold,Buy,False
8149,137.40343407676198,141.84,60.934630993018686,69.99,Sell,Sell,True
8150,137.8099852769516,141.79,61.79353624246603,72.38,Hold,Hold,True
8151,138.98169008352184,123.68,57.01445675366913,36.58,Hold,Buy,False
8152,129.81528843877805,128.1,45.95636737117944,38.11,Hold,Hold,True
8153,133.42633311893402,134.01,58.29797780594966,54.36,Buy,Hold,False
8154,127.08830576574826,127.94,47.90549572916691,40.43,Sell,Hold,False
8155,131.98635071159217,138.94,52.15982252084348,60.99,Hold,Sell,False
8156,135.766746683356,138.23,55.71904755608366,61.13,Hold,Hold,True
8157,134.93329207279822,143.82,56.02507726903339,72.64,Buy,Hold,False
8158,135.98511031061486,128.69,57.16931955002811,44.73,Hold,Hold,True
8159,135.36912645755575,134.14,56.25088180011827,54.1,Buy,Hold,False
8160,131.19814363918238,112.56,51.87343325294349,9.83,Buy,Buy,True
8161,131.05677189690542,131.15,47.78891221608224,47.94,Buy,Hold,False
8162,131.906944567743,123.79,43.7081302813666,31.27,Buy,Hold,False
8163,131.88725884352385,144.58,46.19558460664801,72.56,Sell,Sell,True
